City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,vapi,20.3718,72.9049,27.2,74,5,0.98,IN,1697125093
233,sinabang,2.4803,96.3801,25.75,85,97,1.41,ID,1697125093
234,chinde,26.8418,88.0763,15.27,88,1,2.38,NP,1697125094
235,uturoa,-16.7333,-151.4333,26.06,72,15,8.82,PF,1697125094
236,letterkenny,54.95,-7.7333,11.94,69,50,3.59,IE,1697125048
237,miles city,46.4083,-105.8406,7.54,87,100,7.2,US,1697125094
238,high river,50.5834,-113.8687,7.87,90,100,5.16,CA,1697125094
239,malango,-2.9627,119.9001,18.73,94,99,0.86,ID,1697125094
240,nabire,-3.3667,135.4833,25.1,89,89,1.42,ID,1697125094
241,iskateley,67.6803,53.1512,1.12,76,100,4.02,RU,1697125094
242,bikenibeu village,1.3673,173.1241,27.98,83,20,1.03,KI,1697125095
243,puerto santa,-8.9906,-78.6456,19.69,82,99,3.57,PE,1697125095
244,suva,-18.1416,178.4415,21.71,88,40,0.0,FJ,1697125095
245,bu'aale,1.0833,42.5833,26.16,74,100,5.04,SO,1697125095
246,vilyuchinsk,52.9306,158.4028,3.85,77,82,3.85,RU,1697125095
247,severo-yeniseyskiy,60.3725,93.0408,3.65,91,81,6.26,RU,1697125095
248,westport,41.1415,-73.3579,20.72,64,0,2.06,US,1697125059
249,ha'il,27.5219,41.6907,33.01,17,40,5.14,SA,1697125095
250,canavieiras,-15.675,-38.9472,28.79,50,26,4.06,BR,1697125096
251,chu,43.5983,73.7614,18.26,36,100,2.25,KZ,1697125096
252,manaure,11.7751,-72.4445,33.42,57,67,6.5,CO,1697125096
253,qui nhon,13.7667,109.2333,25.39,89,100,3.57,VN,1697125096
254,acarau,-2.8856,-40.12,30.26,60,57,7.24,BR,1697125096
255,i-n-salah,27.1935,2.4607,35.99,11,33,3.06,DZ,1697125096
256,avarua,-21.2078,-159.775,20.03,100,100,1.03,CK,1697125096
257,bellevue,47.6104,-122.2007,12.71,93,100,2.57,US,1697125030
258,aktobe,50.2797,57.2072,4.05,70,0,3.0,KZ,1697125097
259,saint-pierre,-21.3393,55.4781,24.82,69,100,1.54,RE,1697125097
260,shingu,33.7333,135.9833,14.7,81,20,2.85,JP,1697125097
261,bardai,11.65,7.2333,32.54,32,36,3.5,NG,1697125097
262,olinda,-8.0089,-34.8553,29.85,51,75,5.66,BR,1697125097
263,morehead city,34.7229,-76.726,17.03,89,100,3.58,US,1697125097
264,tvoroyri,61.5556,-6.8111,9.09,91,100,15.27,FO,1697125097
265,coronel oviedo,-25.4167,-56.45,16.28,78,100,5.08,PY,1697125097
266,hawaiian paradise park,19.5933,-154.9731,22.24,76,75,2.06,US,1697125097
267,luderitz,-26.6481,15.1594,17.49,65,22,11.88,NA,1697125098
268,klyuchi,52.2667,79.1667,6.29,86,100,1.85,RU,1697125098
269,midvagur,62.0511,-7.1939,9.46,93,100,9.77,FO,1697125098
270,gadzhiyevo,69.2551,33.3362,2.43,96,100,13.07,RU,1697125098
271,laurel bay,32.4502,-80.7848,18.98,88,75,10.29,US,1697125098
272,afaahiti,-17.75,-149.2833,21.93,76,32,7.75,PF,1697125098
